DMF command 112 at 63789504187463.8253 ms : clrel 0 135
DMF command 113 at 63789504187588.7658 ms : setel 0 155
DMF command 114 at 63789504187713.7525 ms : clrel 0 145
DMF command 115 at 63789504187776.1628 ms : setel 0 165
DMF command 116 at 63789504187900.8741 ms : clrel 0 155
DMF command 117 at 63789504188027.7858 ms : setel 0 175
DMF command 118 at 63789504188090.3035 ms : clrel 0 165
DMF command 119 at 63789504188215.2511 ms : setel 0 185
DMF command 120 at 63789504188340.2597 ms : clrel 0 175
DMF command 121 at 63789504188464.9016 ms : setel 0 67
DMF command 122 at 63789504188590.1641 ms : clrel 0 185
DMF command 123 at 63789504188652.5775 ms : setel 0 185
DMF command 124 at 63789504188777.5355 ms : clrel 0 67
DMF command 125 at 63789504188918.2196 ms : setel 0 175
DMF command 126 at 63789504189043.1345 ms : clrel 0 185
DMF command 127 at 63789504189105.6598 ms : setel 0 165
DMF command 128 at 63789504189230.5411 ms : clrel 0 175
DMF command 129 at 63789504189355.2787 ms : setel 0 155
DMF command 130 at 63789504189480.5946 ms : clrel 0 165
DMF command 131 at 63789504189605.5524 ms : setel 0 145
DMF command 132 at 63789504189730.5199 ms : clrel 0 155
DMF command 133 at 63789504189792.9208 ms : setel 0 135
DMF command 134 at 63789504189917.6459 ms : clrel 0 145
DMF command 135 at 63789504190042.6562 ms : setel 0 250
DMF command 136 at 63789504190167.9274 ms : clrel 0 135
DMF command 137 at 63789504190232.1603 ms : setel 0 240
DMF command 138 at 63789504190357.063 ms : clrel 0 250
DMF command 139 at 63789504190482.0964 ms : setel 0 230
DMF command 140 at 63789504190606.7466 ms : clrel 0 240
DMF command 141 at 63789504190669.5893 ms : setel 0 220
DMF command 142 at 63789504190795.5493 ms : clrel 0 230
DMF command 143 at 63789504190920.5204 ms : setel 0 210
DMF command 144 at 63789504191045.4908 ms : clrel 0 220
DMF command 145 at 63789504191170.4607 ms : setel 0 200
DMF command 146 at 63789504191295.4602 ms : clrel 0 210
DMF command 147 at 63789504191420.7497 ms : setel 0 210
DMF command 148 at 63789504191483.185 ms : clrel 0 200
DMF command 149 at 63789504191607.8871 ms : setel 0 220
DMF command 150 at 63789504191733.1856 ms : clrel 0 210
DMF command 151 at 63789504191858.0585 ms : setel 0 230
DMF command 152 at 63789504191983.1241 ms : clrel 0 220
DMF command 153 at 63789504192107.7399 ms : setel 0 240
DMF command 154 at 63789504192233.4063 ms : clrel 0 230
DMF command 155 at 63789504192295.62 ms : setel 0 250
DMF command 156 at 63789504192420.9043 ms : clrel 0 240
DMF command 157 at 63789504192545.7977 ms : setel 0 135
DMF command 158 at 63789504192670.8573 ms : clrel 0 250
DMF command 159 at 63789504192795.5021 ms : setel 0 145
DMF command 160 at 63789504192920.7765 ms : clrel 0 135
DMF command 161 at 63789504192984.4344 ms : setel 0 155
DMF command 162 at 63789504193109.6628 ms : clrel 0 145
DMF command 163 at 63789504193234.6822 ms : setel 0 165
DMF command 164 at 63789504193359.3419 ms : clrel 0 155
DMF command 165 at 63789504193501.6136 ms : setel 0 175
DMF command 166 at 63789504193580.03 ms : clrel 0 165
DMF command 167 at 63789504193704.9082 ms : setel 0 185
DMF command 168 at 63789504193767.4301 ms : clrel 0 175
DMF command 169 at 63789504193892.1175 ms : setel 0 67
DMF command 170 at 63789504194017.4676 ms : clrel 0 185
DMF command 171 at 63789504194142.7094 ms : setel 0 185
DMF command 172 at 63789504194267.7428 ms : clrel 0 67
DMF command 173 at 63789504194330.2453 ms : setel 0 175
DMF command 174 at 63789504194455.1847 ms : clrel 0 185
DMF command 175 at 63789504194580.1793 ms : setel 0 165
DMF command 176 at 63789504194704.8332 ms : clrel 0 175
DMF command 177 at 63789504194831.6905 ms : setel 0 155
DMF command 178 at 63789504194956.6898 ms : clrel 0 165
DMF command 179 at 63789504195081.3357 ms : setel 0 145
DMF command 180 at 63789504195144.0784 ms : clrel 0 155
DMF command 181 at 63789504195269.0795 ms : setel 0 135
DMF command 182 at 63789504195393.7575 ms : clrel 0 145
DMF command 183 at 63789504195519.0379 ms : setel 0 250
DMF command 184 at 63789504195643.9406 ms : clrel 0 135
DMF command 185 at 63789504195706.486 ms : setel 0 240
DMF command 186 at 63789504195831.1296 ms : clrel 0 250
DMF command 187 at 63789504195972.0262 ms : setel 0 230
DMF command 188 at 63789504196034.5494 ms : clrel 0 240
DMF command 189 at 63789504196160.7164 ms : setel 0 220
DMF command 190 at 63789504196285.715 ms : clrel 0 230
DMF command 191 at 63789504196348.5248 ms : setel 0 210
DMF command 192 at 63789504196473.4971 ms : clrel 0 220
DMF command 193 at 63789504196613.7677 ms : setel 0 200
DMF command 194 at 63789504196738.7373 ms : clrel 0 210
DMF command 195 at 63789504196801.5508 ms : setel 0 210
DMF command 196 at 63789504196942.0732 ms : clrel 0 200
DMF command 197 at 63789504197067.1059 ms : setel 0 220
DMF command 198 at 63789504197129.5891 ms : clrel 0 210
DMF command 199 at 63789504197254.6057 ms : setel 0 230
DMF command 200 at 63789504197379.2468 ms : clrel 0 220
DMF command 201 at 63789504197504.4849 ms : setel 0 240
DMF command 202 at 63789504197566.7064 ms : clrel 0 230
DMF command 203 at 63789504197691.9355 ms : setel 0 250
DMF command 204 at 63789504197816.9052 ms : clrel 0 240
DMF command 205 at 63789504197941.833 ms : setel 0 135
DMF command 206 at 63789504198004.4064 ms : clrel 0 250
DMF command 207 at 63789504198144.9632 ms : setel 0 145
DMF command 208 at 63789504198269.975 ms : clrel 0 135
DMF command 209 at 63789504198332.4755 ms : setel 0 155
DMF command 210 at 63789504198458.5633 ms : clrel 0 145
DMF command 211 at 63789504198583.5668 ms : setel 0 165
DMF command 212 at 63789504198724.4563 ms : clrel 0 155
DMF command 213 at 63789504198787.2399 ms : setel 0 175
DMF command 214 at 63789504198912.2202 ms : clrel 0 165
DMF command 215 at 63789504199036.8813 ms : setel 0 185
DMF command 216 at 63789504199162.1302 ms : clrel 0 175
DMF command 217 at 63789504199240.2489 ms : setel 0 67
DMF command 218 at 63789504199364.9274 ms : clrel 0 185
DMF command 219 at 63789504199490.202 ms : setel 0 185
DMF command 220 at 63789504199615.1664 ms : clrel 0 67
DMF command 221 at 63789504199740.1727 ms : setel 0 175
DMF command 222 at 63789504199802.6434 ms : clrel 0 185
DMF command 223 at 63789504199927.3025 ms : setel 0 165
DMF command 224 at 63789504200052.571 ms : clrel 0 175
DMF command 225 at 63789504200177.2093 ms : setel 0 155
DMF command 226 at 63789504200240.0118 ms : clrel 0 165
DMF command 227 at 63789504200365.0091 ms : setel 0 145
DMF command 228 at 63789504200489.6644 ms : clrel 0 155
DMF command 229 at 63789504200614.9155 ms : setel 0 135
DMF command 230 at 63789504200739.9358 ms : clrel 0 145
DMF command 231 at 63789504200802.3834 ms : setel 0 250
